term,indicator,glossed_as,page,pre_context,post_context
als,of,"de E: Maatschappij, ongelukkiglijk, gevaer",#+ NL-HaNA_1.04.02_10027_0216.xml,"van Ceilon hadden verspreit,","de E: Maatschappij, ongelukkiglijk, gevaer liep van weder in oorlog"
opgegeeven,of,ons Jongst over Jaffenapatnam op,#+ NL-HaNA_1.04.02_10027_0217.xml,weinige regels mag worden,ons Jongst over Jaffenapatnam op ultimo Maart gezonden generaal verslag
meer,of,min bij de Correspondentie zeedert,#+ NL-HaNA_1.04.02_10027_0217.xml,karigheit van eenige Letters,min bij de Correspondentie zeedert ofte den 2. passato is
zeedert,ofte,den 2. passato is van,#+ NL-HaNA_1.04.02_10027_0217.xml,min bij de Correspondentie,den 2. passato is van Tin„ konemale alhier aangekomen de
februarij,of,"in het begin van Maert,",#+ NL-HaNA_1.04.02_10027_0218.xml,in het laast van,"in het begin van Maert, waarom we, zelfs den 16."
verwachten,of,niet verwagten van de ged:,#+ NL-HaNA_1.04.02_10027_0220.xml,te noteeren aengaende het,"niet verwagten van de ged: vaertuigen het welk, na onze"
ordre,ofte,intensie scheen te hebben tot,#+ NL-HaNA_1.04.02_10027_0220.xml,"was verwachtende, dus geen",intensie scheen te hebben tot afzending van de vaer„ „tuigen
niet,of,"vrucht, voor het kor„ mandelsch",#+ NL-HaNA_1.04.02_10027_0221.xml,"die der werstrekkingen, zonder","vrucht, voor het kor„ mandelsch Gouvernement ten uiterste zwaer drukkende"
reeden,of,de wapenen Spoedig gebracht mag„,#+ NL-HaNA_1.04.02_10027_0222.xml,van kandia door de,de wapenen Spoedig gebracht mag„ worden tot vreedzaame en geschik
vaartuijgen,of,sloep vernomen hebbende ter afhaal,#+ NL-HaNA_1.04.02_10027_0222.xml,toe van Iaffanapatnam geen,"sloep vernomen hebbende ter afhaal van het detachement dat, on„"
daar„,of,te Ceijlon elders nodiger te,#+ NL-HaNA_1.04.02_10027_0222.xml,oordeelen die manschap al,"te Ceijlon elders nodiger te zijn als bij ons, als"
vertollig,ofte,"te missen waaren, en hem",#+ NL-HaNA_1.04.02_10027_0223.xml,"alle die naaren, die","te missen waaren, en hem een brief aan het Commandement"
koomen,ofte,den heer Commandeur en raed,#+ NL-HaNA_1.04.02_10027_0223.xml,het eerst terhou moest,"den heer Commandeur en raed Aejassanap: meede gegeven, dat eijgen"
aangeschreeven,ofte,een acte tot die qualiteit,#+ NL-HaNA_1.04.02_10027_0223.xml,"gouvernement als onderkoopman, nooit",een acte tot die qualiteit voor hun alhier is ontvangen
verantwoording,ofte,"verdeediging, gelijk wij ons verpligt",#+ NL-HaNA_1.04.02_10027_0224.xml,"nodig zijn, ter onser","verdeediging, gelijk wij ons verpligt achte ten aanzien van de"
aanmaaking,ofte,tot reparatie van alhier thuijs,#+ NL-HaNA_1.04.02_10027_0224.xml,"de ongelden, bekostigd ter",tot reparatie van alhier thuijs hoorende sloepen en mindere vaartuijgen
geval,ofte,de beklaegde onbeantwoord lating te,#+ NL-HaNA_1.04.02_10027_0224.xml,Wat belangt het andere,de beklaegde onbeantwoord lating te Jasfanap: van onse brief de
reslekteeren,ofte,wijl: iets. #+ --- wijl: iets. #+ ---,#+ NL-HaNA_1.04.02_10027_0224.xml,zonder daar op te,wijl: iets. #+ ---
agtervolgt,of,de reeden van het onmogelijke,#+ NL-HaNA_1.04.02_10027_0225.xml,met 'er daed niet,de reeden van het onmogelijke tijdig bedeelt worde om alle
wel,of,qualijke repareeren van onse sloepen,#+ NL-HaNA_1.04.02_10027_0225.xml,te geiteeren over het,"qualijke repareeren van onse sloepen te Jassanapatnam, hebben we op"
een,of,"ander, door den heer Jaffanapatnamsche",#+ NL-HaNA_1.04.02_10027_0225.xml,Hunne instantien om het,"ander, door den heer Jaffanapatnamsche Commandeur ofte zijn agtb:s onderhoorige"
Commandeur,ofte,zijn agtb:s onderhoorige is geantwoord,#+ NL-HaNA_1.04.02_10027_0225.xml,door den heer Jaffanapatnamsche,zijn agtb:s onderhoorige is geantwoord geworden. wij voegen nog daar
sloepen,ofte,reksite melden aangaande het Emploij,#+ NL-HaNA_1.04.02_10027_0226.xml,--- verleegenheijd om de,reksite melden aangaande het Emploij van deselve in zeer platte
beije,ofte,een van onse sloepen behoorlijk,#+ NL-HaNA_1.04.02_10027_0227.xml,"uiterlijk medio Januarij aanstaande,","een van onse sloepen behoorlijk gerepa„ reert zijnde, met een"
goud,of,silver ged hebben ontvangen: en,#+ NL-HaNA_1.04.02_10027_0232.xml,nog van Batavia geen,"silver ged hebben ontvangen: en wat aangaet uw Edelen verzoek,"
requard,of,zijn verzoek gelieven te slaan.,#+ NL-HaNA_1.04.02_10027_0233.xml,"de Justitie, een billijk",zijn verzoek gelieven te slaan. wij blijven voor het overige
weetn,of,het netto gewigt van de,#+ NL-HaNA_1.04.02_10027_0236.xml,en wij dus niet,het netto gewigt van de nooten en nagul„ behoorlijk is
hooren,of,ze zich van deeze hun,#+ NL-HaNA_1.04.02_10027_0238.xml,"=weest zijn, wilden doen",ze zich van deeze hun plicht gekweeten hebben. Nobens den
inkl:s,of,mktp. 169: 4: 10. aan,#+ NL-HaNA_1.04.02_10027_0239.xml,kist inhou„ dende 220.,"mktp. 169: 4: 10. aan 11. baren, en met t:"
zijn,of,"het Transport te lande, buiten",#+ NL-HaNA_1.04.02_10027_0240.xml,om dat we onkundig,"het Transport te lande, buiten gevaar geschieden kan. wijl egter"
executeurs,of,erfgenaamen van wijlen den onderkoopman,#+ NL-HaNA_1.04.02_10027_0241.xml,"gelast, door de testamentaire","erfgenaamen van wijlen den onderkoopman Geeke, Cautie te laeten stellen"
last,of,nadere naricht derwee„ „gens van,#+ NL-HaNA_1.04.02_10027_0244.xml,zonder dat speciaa„ „le,nadere naricht derwee„ „gens van gedagte Capt Elliot kreeg; Dusdanig
last,of,qualificatie van Capt: Elliot wijl,#+ NL-HaNA_1.04.02_10027_0246.xml,Allardice te betaalen zonder,qualificatie van Capt: Elliot wijl die naderhand eens koome„ „de
optegeeven,of,de ge„ 50 „heele bedongene,#+ NL-HaNA_1.04.02_10027_0247.xml,over„ „denken en ons,de ge„ 50 „heele bedongene vragt van p:s 7: 3500:—
mitsgrs:,of,uwelEdelens ooirbaar oordeelen de vragtpenningen,#+ NL-HaNA_1.04.02_10027_0247.xml,"„fange, moet betaald werden,",uwelEdelens ooirbaar oordeelen de vragtpenningen aan de best Heer „
wel,of,men de zaak op zijn,#+ NL-HaNA_1.04.02_10027_0248.xml,"„tig te werden, dan",men de zaak op zijn beloop laaten en af „wagten
Aabitrage,of,vervolging der Assura„ deurs op,#+ NL-HaNA_1.04.02_10027_0250.xml,staat gesteld heeft de,vervolging der Assura„ deurs op Madaas behoorlijk in stand te
komp:e,of,deeze Chanzooken kunne wij hebben,#+ NL-HaNA_1.04.02_10027_0252.xml,de regt van de,deeze Chanzooken kunne wij hebben de eere uwelEd:s hier nevens
onzeekerheid,of,onze breeven van den 12,#+ NL-HaNA_1.04.02_10027_0253.xml,April 1791: In de,"onze breeven van den 12 9ber: en 22. Januarij JZ:,"
memorie,of,beschrijving van de wijse op,#+ NL-HaNA_1.04.02_10027_0256.xml,verzeld gaan van een,beschrijving van de wijse op wel dezelve en de tarwe
is,of,"den broeder van deezen Bouwmandjen,",#+ NL-HaNA_1.04.02_10027_0257.xml,niet meerder een raadzal,"den broeder van deezen Bouwmandjen, gen:t Edeltjen kautjen zoekt onder"
„spraak,of,violentie bevrijd blijve; eindelijk solliciteeren,#+ NL-HaNA_1.04.02_10027_0257.xml,voor alle personeele aan,"violentie bevrijd blijve; eindelijk solliciteeren wij nog, om uwel Edele"
helfte,of,"ropias 10542. 3. -, voor",#+ NL-HaNA_1.04.02_10027_0261.xml,waarvan hij aanbied de,"ropias 10542. 3. -, voor het aandeel van zijne meerm:"
onderrigten,of,"dit zodanig is, dan wel",#+ NL-HaNA_1.04.02_10027_0268.xml,wij versoeken ons tewillen,"dit zodanig is, dan wel of het regiment de doodkisten"
wel,of,het regiment de doodkisten betaalen,#+ NL-HaNA_1.04.02_10027_0268.xml,"dit zodanig is, dan",het regiment de doodkisten betaalen moet. De herwaards gezondene monteering
gasie,of,rantsoen genooten heeft. Tot het,#+ NL-HaNA_1.04.02_10027_0278.xml,tijd tot nu geen,rantsoen genooten heeft. Tot het monteeren van deeze rekruten hebben
schip,of,ander vaartuijg dat hier komt,#+ NL-HaNA_1.04.02_10027_0279.xml,deeze manschappen met het,"ander vaartuijg dat hier komt om peper aftehaalen, weder naar"
Zuiver,of,"27½ lb: onzuivere, en te",#+ NL-HaNA_1.04.02_10027_0286.xml,kotje van 25. lb:,"27½ lb: onzuivere, en te Gale gescheed de ink teegens"
Zuivere,of,28 wij bieden uwel Edelens,#+ NL-HaNA_1.04.02_10027_0286.xml,ste: de 25. lb:,28 wij bieden uwel Edelens hiernevens aan een eisch van
boodem,of,een ander schip zoo kapitain,#+ NL-HaNA_1.04.02_10027_0287.xml,officier plaats op gem:,een ander schip zoo kapitain paarde koper reeds mogte voorzien
Gale,of,na dat deese booter reets,#+ NL-HaNA_1.04.02_10027_0291.xml,bij de ontlossing te,na dat deese booter reets in het gaalsch dispens was
riemen,of,"ten minsten 100. neemen, het",#+ NL-HaNA_1.04.02_10027_0292.xml,"quantiteit, voor eerst 200","ten minsten 100. neemen, het zij over zee na de"
los,of,"in zakken, na dat ze",#+ NL-HaNA_1.04.02_10027_0297.xml,"staat stroo bollen, maar","in zakken, na dat ze de overvoerders netto zal zijn"
gaga,of,"een en halve rds smaands,",#+ NL-HaNA_1.04.02_10027_0298.xml,de helfte van hunne,"een en halve rds smaands, aan hunne vrouwen mogte worden"
mindere,of,"meer„ dere aandrang voortgebracht, nu",#+ NL-HaNA_1.04.02_10027_0302.xml,"standigheeden van tijden, met","meer„ dere aandrang voortgebracht, nu naader ter spraak op eene"
als,of,"het Hof hadde voorgenoomen, die",#+ NL-HaNA_1.04.02_10027_0302.xml,"spraak op eene wijze,","het Hof hadde voorgenoomen, die nu met groote nadruk door"
zijn,of,niet die op eeniger han,#+ NL-HaNA_1.04.02_10027_0307.xml,dt hun onderge¬ „schikt,niet die op eeniger han de wijze aan deeze dingen
aanzien,of,daar over eenige ongenoegen teegens,#+ NL-HaNA_1.04.02_10027_0307.xml,daar op verder zullen,daar over eenige ongenoegen teegens hun be 9 #+ ---
als,of,die dingen nooij „beurd waaren,#+ NL-HaNA_1.04.02_10027_0308.xml,"vergeeter en geheugen gewischt,",die dingen nooij „beurd waaren ten Eijnde daar door op
„klaaring,of,wat voor andere geschrift het,#+ NL-HaNA_1.04.02_10027_0308.xml,voor geeiijndigd en de,wat voor andere geschrift het mogten zijn daar toe betrek
zien,of,de Caneel schillers is of,#+ NL-HaNA_1.04.02_10027_0309.xml,geschied zon„ „der te,de Caneel schillers is of niet waar door mits deezen
is,of,niet waar door mits deezen,#+ NL-HaNA_1.04.02_10027_0309.xml,of de Caneel schillers,niet waar door mits deezen dien heel veel Caneel verlooren
eijge,of,"daar toe expres verkreegene: gronden,",#+ NL-HaNA_1.04.02_10027_0309.xml,schillers die op hun,"daar toe expres verkreegene: gronden, zoo veel kanneel hebben/: aangepland,"
zijn,of,dat uwE vind hem nader,#+ NL-HaNA_1.04.02_10027_0314.xml,onderzogt niet mogte voldoende,"dat uwE vind hem nader te moete „schijnen antwoorden, om"
zijn,of,de Na „bab niet wederom,#+ NL-HaNA_1.04.02_10027_0314.xml,nog niet zeeker te,de Na „bab niet wederom zal worden hersteld De dingen
onwettige,of,fiolente wijze daar op inbreuken,#+ NL-HaNA_1.04.02_10027_0315.xml,"zijn, wanneer op geen",fiolente wijze daar op inbreuken zijn gedaan. zoo aan den
ontfangen,of,ook zelfs zoo deeze boodschap,#+ NL-HaNA_1.04.02_10027_0315.xml,geen and„ woord is,ook zelfs zoo deeze boodschap aan gem bankier en uijt
gaan,of,"ten minsten voegelijk maaken, diend",#+ NL-HaNA_1.04.02_10027_0316.xml,"te vervallen, kan tegen","ten minsten voegelijk maaken, diend het nogtans te geschieden in"
men,of,"om de overmagt, of andere",#+ NL-HaNA_1.04.02_10027_0317.xml,de Engels geweld: dat,"om de overmagt, of andere redenen niet kieren kan sche"
overmagt,of,andere redenen niet kieren kan,#+ NL-HaNA_1.04.02_10027_0317.xml,men of om de,andere redenen niet kieren kan sche er niets over dan
tituende,of,de heer Buhanan daar op,#+ NL-HaNA_1.04.02_10027_0318.xml,onder Cautie de re„,de heer Buhanan daar op Nader pretentie mogte institueeren Op
één,of,ten hoogsten twee bedienden worden,#+ NL-HaNA_1.04.02_10027_0321.xml,mag ook aan hem,ten hoogsten twee bedienden worden meede gegeven. Aan den Capitain
vragen,of,aan de aan„ bevieling door,#+ NL-HaNA_1.04.02_10027_0321.xml,"toe¬ zenden, en hem",aan de aan„ bevieling door den Nabab daar bij gedaan
bekreuwen,of,de afscheep geschied dan niet.,#+ NL-HaNA_1.04.02_10027_0323.xml,voor 't overige niet,de afscheep geschied dan niet. Indien de a scheep des
als,of,uE daar van geen kennis,#+ NL-HaNA_1.04.02_10027_0323.xml,"moeten uE zich houden,","uE daar van geen kennis draagen, en moeten uE: om"
als,of,"de eerste Rijks Adigaar, verdagt",#+ NL-HaNA_1.04.02_10027_0324.xml,"eenige geruchten te versprijden,","de eerste Rijks Adigaar, verdagt van te weezen een alte"
stranden,of,misschien uitwerken ^ de Minschen,#+ NL-HaNA_1.04.02_10027_0325.xml,'t terug kreegen der,"misschien uitwerken ^ de Minschen wil zelfs het oogmelt hebben,"
dog,of,wat een ingewikkeld te vermiender,#+ NL-HaNA_1.04.02_10027_0327.xml,Aangewelle merkelijk te verminderen,wat een ingewikkeld te vermiender & ant¬ De eerst ondergeteekende
goude,of,zilvere spetien weeder te restitueeren,#+ NL-HaNA_1.04.02_10027_0328.xml,tedraagen daar van in,zilvere spetien weeder te restitueeren wij blijven voor 't overige
Marcheeren,of,"skoning grond en bodem, en",#+ NL-HaNA_1.04.02_10027_0329.xml,"--- laaten, te laaten","skoning grond en bodem, en daar meede voor eerst post"
maand,of,be„ „7 an 62 alle,#+ NL-HaNA_1.04.02_10027_0329.xml,het laast van deeze,be„ „7 an 62 alle gen #+ ---
bestemmen,of,het met kandia tot daadelijkheeden,#+ NL-HaNA_1.04.02_10027_0330.xml,„ veel zekerheid kunnen,het met kandia tot daadelijkheeden zal koomen of niet: We
koomen,of,niet: We zullen teegens dien,#+ NL-HaNA_1.04.02_10027_0330.xml,kandia tot daadelijkheeden zal,niet: We zullen teegens dien tijd een sloep zijlvaardig houden
het,of,schrijv staa als vooren der,#+ NL-HaNA_1.04.02_10027_0330.xml,"een partij volk, en",schrijv staa als vooren der geweeren van de ingezeekenen. voor
nogtans,of,de echtheid van een berigt,#+ NL-HaNA_1.04.02_10027_0330.xml,voor zoo velte men,de echtheid van een berigt dat we heden uijt kandia
9,of,"'t Hof van kandea, eindelijk",#+ NL-HaNA_1.04.02_10027_0331.xml,te kunnen besterwen 0,"'t Hof van kandea, eindelijk tot de lykheeden zal overgaan;"
om,of,"de baerlbanken te visschen, en",#+ NL-HaNA_1.04.02_10027_0332.xml,"21. vaartuigen hadde g'emploijeerd,","de baerlbanken te visschen, en dat hij de Parels zoude"
zijn,of,"niet, geene de aller minste",#+ NL-HaNA_1.04.02_10027_0334.xml,dat hun klagter gefundeerd,"niet, geene de aller minste onvriendelijkheeden zal hebben te bewijzen"
overleeveren,of,ook maar van hunne aanwerzendheid,#+ NL-HaNA_1.04.02_10027_0341.xml,"daar bij zijn vermeld,","ook maar van hunne aanwerzendheid ken nis geeven, zodanig datze"
vermeld,of,ook maar voor 't aanwijzen,#+ NL-HaNA_1.04.02_10027_0341.xml,als daar bij zijn,"ook maar voor 't aanwijzen der zelve, zodanig dat 'te"
Pagooden,of,de waarde van dier„ de,#+ NL-HaNA_1.04.02_10027_0341.xml,premie van twee honderd,"de waarde van dier„ de Pagood gereekend teegens 17. schell:,"
leeveren,of,ook maat van hunne aanweezentheid,#+ NL-HaNA_1.04.02_10027_0342.xml,bij zijn vermeld over,"ook maat van hunne aanweezentheid kennis geeven, zodanig dat ze"
vermeld,of,ook maar voor het aan,#+ NL-HaNA_1.04.02_10027_0343.xml,als daar b zijn,"ook maar voor het aan „zen derzelve, zodanig dat ze"
Pagooden,of,"d waarde van dien, de",#+ NL-HaNA_1.04.02_10027_0343.xml,premie van twee honderd,"d waarde van dien, de Pagood gereekend terg 17. schell:"
overleeveren,of,ook maar van hunne aanweezendheid,#+ NL-HaNA_1.04.02_10027_0344.xml,daar bij zijn vermeld,"ook maar van hunne aanweezendheid kennis geeven, zodanig dat ze"
vermeld,of,ook maer voor het aanwijzen,#+ NL-HaNA_1.04.02_10027_0345.xml,als daar bij zijn,ook maer voor het aanwijzen derzelve zodanig dat ze worden
Pagooden,of,de waarde van dien de,#+ NL-HaNA_1.04.02_10027_0345.xml,paemie van twee honderd,de waarde van dien de Pagood geteekend teegens 17. schelt:
overleeveren,of,ook maer van hunne aanweezendheid,#+ NL-HaNA_1.04.02_10027_0346.xml,daer bij zijn vermeld,ook maer van hunne aanweezendheid kennis geeven zodanig dat ze
vermeld,of,ook maar voort aan wijzen,#+ NL-HaNA_1.04.02_10027_0347.xml,als daer bij zijn,"ook maar voort aan wijzen derzelve, zodanig dat ze worden"
„gooden,of,de waarde van dien de,#+ NL-HaNA_1.04.02_10027_0347.xml,van twee hondert b,de waarde van dien de Pagi gereekend teegens 17. schell:
aangeleegentheeden,of,ten minsten geene zaaken waar,#+ NL-HaNA_1.04.02_10027_0351.xml,dan hunne eige„ ne,ten minsten geene zaaken waar bij de komp: of de
komp:,of,de aangelegen heden van dit,#+ NL-HaNA_1.04.02_10027_0351.xml,zaaken waar bij de,"de aangelegen heden van dit Eiland, op eeniger hande Wijze"
dienaaren,of,ander ingezeetenen op wiens goede,#+ NL-HaNA_1.04.02_10027_0351.xml,aan zulke van 'skomp:,ander ingezeetenen op wiens goede trouwe UE: denkt te kunnen
wettig,of,"onwettig, naartenemen Mei„ bespeurde echter",#+ NL-HaNA_1.04.02_10027_0360.xml,hunne inkomsten het zij,"onwettig, naartenemen Mei„ bespeurde echter een merkelijk onderscheijd in wijse"
vroeg,of,"laat, eenmaal zal moeten geschieden.",#+ NL-HaNA_1.04.02_10027_0361.xml,onze rechten en previlesien,"laat, eenmaal zal moeten geschieden. De Residenten te Manapaart gaven"
seven,of,agt fanums; omtrent Dat 9,#+ NL-HaNA_1.04.02_10027_0361.xml,betaald een sjela van,agt fanums; omtrent Dat 9 #+ ---
houden,of,zij hem wat wilden geeven,#+ NL-HaNA_1.04.02_10027_0363.xml,te vreede te zullen,zij hem wat wilden geeven Ja dan neene Te Tutukorijn
parruas,of,andere inwoonders van de stad,#+ NL-HaNA_1.04.02_10027_0365.xml,gewoon is om de,andere inwoonders van de stad buijten de vallen van 't
ontslaan,of,wij over alle deese. zaeken,#+ NL-HaNA_1.04.02_10027_0367.xml,tans de vraage te,wij over alle deese. zaeken met de Engelsche Regeering zullen
min,of,moer 2000 pagooden die hoogst,#+ NL-HaNA_1.04.02_10027_0368.xml,de fannumstans bestaat in,moer 2000 pagooden die hoogst nood= zaaklijk voor de verstrekking
wissel,of,"op introst te bekoomen, wijl",#+ NL-HaNA_1.04.02_10027_0368.xml,heb om geld op,"op introst te bekoomen, wijl de En„ gelschen tans bij"
kunnen,of,te duroen beletten. wijl ik,#+ NL-HaNA_1.04.02_10027_0370.xml,#+ --- te,te duroen beletten. wijl ik echter onderrigt was dat 'er
ontdekken,of,er ook werkelijk lijnwaaten onder,#+ NL-HaNA_1.04.02_10027_0371.xml,"zijn, als om te",er ook werkelijk lijnwaaten onder waaren die voor de kompenie
ordre,of,de pacht van de visschrij,#+ NL-HaNA_1.04.02_10027_0375.xml,ver„ soeke ik eendistente,de pacht van de visschrij tot een niet naamwaardige som
af,of,ik konde bewillingen in 't,#+ NL-HaNA_1.04.02_10027_0376.xml,ten dien eynde decisief,"ik konde bewillingen in 't verpagten vande visscherij, zonder eenige"
had,of,dezelven wel met goed rocht,#+ NL-HaNA_1.04.02_10027_0378.xml,van Madras veel bedenkingen,"dezelven wel met goed rocht wierden geoeffent, en of daar"
en,of,daar uit niet waaren voortgekomen,#+ NL-HaNA_1.04.02_10027_0378.xml,"goed rocht wierden geoeffent,","daar uit niet waaren voortgekomen de menigvuldige geschillen, die onder"
en,of,bij de boeken ook niet,#+ NL-HaNA_1.04.02_10027_0382.xml,de betaaling geschied is,bij de boeken ook niet nader„ handt #+ ---
gesraagd,of,aan de aanbewerling door den,#+ NL-HaNA_1.04.02_10027_0388.xml,"drieduijzend sjakkerons, en hem",aan de aanbewerling door den Nabab daar bij gedaan kan
Verleenen,of,wij indien de heer Torin,#+ NL-HaNA_1.04.02_10027_0390.xml,direkte beveelen gelieve te,wij indien de heer Torin zonder ons Virlof en visitatie
koomen,of,"zijne kommissien te„ zenden, zo",#+ NL-HaNA_1.04.02_10027_0393.xml,"had, om zelve te","zijne kommissien te„ zenden, zo als hij het goedvind Maar"
Nabab,of,zijne bedienden ook al Voor,#+ NL-HaNA_1.04.02_10027_0393.xml,"beweerd, dat zo de",zijne bedienden ook al Voor een enkeld maal om bijzondere
aanstaande,of,het mogt gebeuren dat wederzijdsche,#+ NL-HaNA_1.04.02_10027_0395.xml,gevolg getrokken in den,het mogt gebeuren dat wederzijdsche pinci„ paalen daar in geen
worden,of,de Jaarlijkse en maandelijkse militaire,#+ NL-HaNA_1.04.02_10027_0405.xml,Achter onderrigt te mogen,"de Jaarlijkse en maandelijkse militaire papieren, welken tot dato na"
Trikonomale,of,welke dubbeld opgemaakt na beiden,#+ NL-HaNA_1.04.02_10027_0405.xml,zijn voortaan alleen na,welke dubbeld opgemaakt na beiden plaatsen gezonden moeten worden Ik
Ranzou,of,DE: Ebele wijl anders geen,#+ NL-HaNA_1.04.02_10027_0407.xml,"meend, teweeten dl: van","DE: Ebele wijl anders geen ondersoek med sekerheid kan geschieden,"
beveelen,of,ik ook voor hun zal,#+ NL-HaNA_1.04.02_10027_0415.xml,te bedden mij te,ik ook voor hun zal huijzen bouwen dan wel het
Comp:,of,eene halve Comp: Chipahies zo,#+ NL-HaNA_1.04.02_10027_0415.xml,het geschieden kan eene,eene halve Comp: Chipahies zo laate Clange #+ ---
